date,year,month,previous_day_rain_mm,season,rain_amount_mm,rain_occurrence,pred_rainfall,pred_rain_occurrence,rain_probability,error,sample_type
20150203,2015,2,2.7,Winter,3.6,1,3.8745876542345945,1,0.5823343789532995,0.2745876542345944,train
20150204,2015,2,3.6,Winter,0.1,0,3.3730702769560237,1,0.8143228533220634,3.2730702769560236,train
20150205,2015,2,0.1,Winter,2.5,1,1.7532852661789886,0,0.4050651020135364,-0.7467147338210114,train
20150206,2015,2,2.5,Winter,0.1,0,2.435769935222032,1,0.5333276636748461,2.335769935222032,train
20150207,2015,2,0.1,Winter,0.0,0,1.7532852661789886,0,0.4050651020135364,1.7532852661789886,train
20150208,2015,2,0.0,Winter,0.2,1,1.0119650046219995,1,0.5339198152535071,0.8119650046219995,train
20150209,2015,2,0.2,Winter,0.0,0,0.8438121630275333,0,0.3468328051602611,0.8438121630275333,train
20150210,2015,2,0.0,Winter,0.4,1,1.0119650046219995,1,0.5339198152535071,0.6119650046219994,train
20150211,2015,2,0.4,Winter,0.2,1,0.6758985078573128,1,0.5513679138695999,0.47589850785731275,train
20150212,2015,2,0.2,Winter,0.0,0,0.8438121630275333,0,0.3468328051602611,0.8438121630275333,train
20150213,2015,2,0.0,Winter,0.0,0,1.0119650046219995,1,0.5339198152535071,1.0119650046219995,train
20150214,2015,2,0.0,Winter,0.2,1,1.0119650046219995,1,0.5339198152535071,0.8119650046219995,train
20150215,2015,2,0.2,Winter,0.0,0,0.8438121630275333,0,0.3468328051602611,0.8438121630275333,train
20150216,2015,2,0.0,Winter,0.0,0,1.0119650046219995,1,0.5339198152535071,1.0119650046219995,train
20150217,2015,2,0.0,Winter,0.0,0,1.0119650046219995,1,0.5339198152535071,1.0119650046219995,train
20150218,2015,2,0.0,Winter,0.6,1,1.0119650046219995,1,0.5339198152535071,0.4119650046219995,train
20150219,2015,2,0.6,Winter,0.0,0,1.8625918856249029,1,0.5109371746857283,1.8625918856249029,train
20150220,2015,2,0.0,Winter,1.7,1,1.0119650046219995,1,0.5339198152535071,-0.6880349953780005,train
20150221,2015,2,1.7,Winter,10.5,1,5.088447311106559,1,0.9449212762158871,-5.411552688893441,train
20150222,2015,2,10.5,Winter,1.7,1,3.585855352307973,1,0.9380777139518482,1.885855352307973,train
