STN,YYYYMMDD,RD,SX
919,20170919,112,0
919,20170920,0,0
919,20170921,0,0
919,20170922,0,0
919,20170923,0,0
919,20170924,0,0
919,20170925,0,0
919,20170926,0,0
919,20170927,0,0
919,20170928,29,0
919,20170929,2,0
919,20170930,80,0
919,20171001,16,0
919,20171002,5,0
919,20171003,30,0
919,20171004,1,0
919,20171005,50,0
919,20171006,35,0
919,20171007,20,0
919,20171008,122,0
919,20171009,10,0
919,20171010,1,0
919,20171011,1,0
919,20171012,2,0
919,20171013,0,0
919,20171014,0,0
919,20171015,0,0
919,20171016,1,0
919,20171017,0,0
919,20171018,0,0
919,20171019,0,0
919,20171020,15,0
919,20171021,10,0
919,20171022,43,0
919,20171023,13,0
919,20171024,7,0
919,20171025,2,0
919,20171026,2,0
919,20171027,5,0
919,20171028,0,0
919,20171029,105,0
919,20171030,1,0
919,20171031,0,0
919,20171101,0,0
919,20171102,0,0
919,20171103,3,0
919,20171104,0,0
919,20171105,66,0
919,20171106,6,0
919,20171107,0,0
919,20171108,1,0
919,20171109,0,0
919,20171110,3,0
919,20171111,8,0
919,20171112,25,0
919,20171113,52,0
919,20171114,1,0
919,20171115,5,0
919,20171116,4,0
919,20171117,10,0
919,20171118,1,0
919,20171119,23,0
919,20171120,30,0
919,20171121,121,0
919,20171122,16,0
919,20171123,1,0
919,20171124,87,0
919,20171125,38,0
919,20171126,26,0
919,20171127,24,0
919,20171128,128,0
919,20171129,3,0
919,20171130,4,0
919,20171201,6,0
919,20171202,0,0
919,20171203,9,0
919,20171204,30,0
919,20171205,2,0
919,20171206,0,0
919,20171207,0,0
919,20171208,93,0
919,20171209,45,0
919,20171210,6,0
919,20171211,124,5
919,20171212,166,4
919,20171213,11,998
919,20171214,126,0
919,20171215,1,0
919,20171216,0,0
919,20171217,58,0
919,20171218,52,0
919,20171219,1,0
919,20171220,1,0
919,20171221,9,0
919,20171222,28,0
919,20171223,5,0
919,20171224,0,0
919,20171225,0,0
919,20171226,11,0
919,20171227,32,0
919,20171228,24,0
919,20171229,2,0
919,20171230,80,0
919,20171231,66,0
919,20180101,89,0
919,20180102,85,0
919,20180103,126,0
919,20180104,30,0
919,20180105,26,0
919,20180106,22,0
919,20180107,7,0
919,20180108,0,0
919,20180109,0,0
919,20180110,11,0
919,20180111,14,0
919,20180112,0,0
919,20180113,0,0
919,20180114,0,0
919,20180115,0,0
919,20180116,126,0
919,20180117,106,0
919,20180118,79,0
919,20180119,48,0
919,20180120,49,0
919,20180121,28,0
919,20180122,35,0
919,20180123,2,0
919,20180124,3,0
919,20180125,15,0
919,20180126,5,0
919,20180127,0,0
919,20180128,9,0
919,20180129,0,0
919,20180130,41,0
919,20180131,50,0
919,20180201,215,0
919,20180202,65,0
919,20180203,25,0
919,20180204,5,0
919,20180205,2,0
919,20180206,0,0
919,20180207,0,0
919,20180208,0,0
919,20180209,0,0
919,20180210,5,0
919,20180211,50,0
919,20180212,20,0
919,20180213,0,0
919,20180214,0,0
919,20180215,60,0
919,20180216,1,0
919,20180217,0,0
919,20180218,0,0
919,20180219,0,0
919,20180220,5,0
919,20180221,0,0
919,20180222,0,0
919,20180223,0,0
919,20180224,0,0
919,20180225,0,0
919,20180226,0,0
919,20180227,0,0
919,20180228,0,0
919,20180301,0,0
919,20180302,0,0
919,20180303,30,3
919,20180304,2,998
919,20180305,22,0
919,20180306,0,0
919,20180307,6,0
919,20180308,31,0
919,20180309,42,0
919,20180310,60,0
